BPCI ID,Global Number,Topic Number,Topic,Text,Response
5229-0000,58,5,Beneficiary Notification,Has provision of the beneficiary notification of participation resulted in negative feedback from beneficiaries?,No
5229-0000,59,6,Beneficiary Notification,"If selected 'Yes' to question 5, what are the primary concerns from the beneficiary perspective?",
5229-0000,60,1,BPCI Advanced Impact,Has the Participant seen any unexpected positive outcomes associated with implementing BPCI Advanced?,Yes
5229-0000,61,2,BPCI Advanced Impact,Has the Participant seen any unexpected negative outcomes associated with implementing BPCI Advanced?,Yes
5229-0000,62,3,BPCI Advanced Impact,"If selected 'Yes' to either question 1 or 2, please describe.","1. We have experienced great engagement of our Executive Leadership Team participating in the BPCI-Adv Steering Team with increased collaboration and understanding of patient care/work flows.2. For patients placed in the AMI Clinical Episode DRG, physicians have had difficulty amending the health record when the Final DRG is issued and that Final DRG is then not indicative for an AMI DRG (ie, upon further diagnostic testing, it is confirmed the patient did not experience an AMI) and before the patient discharge."
5229-0000,63,4,BPCI Advanced Impact,"Has the Participant established a process for monitoring and mitigating unintended consequences (e.g., patient targeting/avoidance, inadequate or insufficient care, costshifting) associated with implementation of the BPCI Advanced Model?",Yes
5229-0000,64,5,BPCI Advanced Impact,"If selected 'Yes' to question 4, please describe.","Our Executive Leadership Team is interfacing with our Direct Patient Care Team continuously and focusing on the Right Care at the Right Time for every patient (not just the AMI clinical episode).Regarding cost-shifting:  Our teams have also focused on demand-destruction of inpt rehabilitation and keeping patients in an inpt status to reduce costs.Our organization recently revised its Mission and Vision statement to reflect a sharper focus on consumers, overall health, and people's experience.  This update will guide our 2025 strategy called a 'Higher Mark'.  Some attributes of this statement:* High quality in every instance;* Accessible to everyone in every community we serve;* Affordable without ever sacrificing quality;* Worry-free at every touchpoint.Our vision is to be the catalyst that ignites a revolution in health care where everyone benefits from it."
5229-0000,65,1,Beneficiary Impact,"Has the Participant implemented a system to request, track and respond to complaints made by BPCI Advanced Beneficiaries? [The complaint process in place does not have to be solely for Beneficiaries in the BPCI Advanced Model. However the current complaint system in place must track complaints made by Beneficiaries in the BPCI Advanced Model.]",Yes; using existing system
5229-0000,66,2,Beneficiary Impact,"If selected 'Yes' to question 1, do you believe that current processes in place appropriately monitor and address those complaints?",Agree
5229-0000,67,3,Beneficiary Impact,"Has the Participant received any complaints related to the established system for tracking Beneficiary complaints? (E.g., a beneficiary complained that their complaint was not resolved quickly enough.)",No
5229-0000,68,4,Beneficiary Impact,Quality - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,69,4,Beneficiary Impact,Safety - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,70,4,Beneficiary Impact,Timing and Access - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,71,4,Beneficiary Impact,Communication - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,72,4,Beneficiary Impact,Compassion/Caring - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,73,4,Beneficiary Impact,Patient Rights - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,74,4,Beneficiary Impact,Other - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5229-0000,75,4,Beneficiary Impact,N/A; we have not received any complaints from Beneficiaries - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Yes
5229-0000,76,1,Document Submission,Is there a designated person(s) for submitting BPCI Advanced required documentation to CMS?,Yes
5229-0000,77,2,Document Submission,Please provide any barriers or challenges associated with submitting required documentation.,"There have been no barriers or challenges associated with submitting required documentation.  Any issues have been quickly amended by the BPCI-Adv Support Team.Overall, the design of the BPCI-Adv Portal works well from our perspective."
5229-0000,78,3,Document Submission,Is there a designated person(s) for coordinating clinical document requests from the Participant and its Downstream Episode Initiators and other clinical partners?,Yes
5229-0000,79,1,Self-disclosed Investigations or Sanctions,Is the Participant or any of its BPCI Advanced partners under any investigations or subject to sanctions that have not been reported to CMS?,No
5229-0000,80,1,Other Issues Not Previously Listed,"Please describe issues, challenges or barriers associated with implementation of the BPCI Advanced Model that have not being discussed above.","While a report was developed within our EMR to identify BPCI-Adv patients, there has been difficulty in successfully performing Advanced Care Planning (ACP), CPT 99497-99498. The challenges encompass the workflow (difficult to have discussion in every patient instance) and coding & documentation to support the coding requirements (discussion time length to meet of at least 30 minutes).If the patient is not expected to expire from an AMI and the clinician begins the ACP discussion, the patient may become scared of a 'death panel' and/or declines an ACP.  It can be a quick 2-minute discussion and does not meet the code's requirements to bill it."
