BPCI ID,Global Number,Topic Number,Topic,Text,Response
1075-0000,18,4,Partner Agreements,Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners.,
1075-0000,19,1,Financial / Programmatic Infrastructure,"Has the Participant set up an accounting system to be used, to measure and track Net Payment Reconciliation Amounts (NPRA) received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS and Administrative Services?",No
1075-0000,20,2,Financial / Programmatic Infrastructure,Is the Participant still participating in Financial Arrangements with one or more NPRA Sharing Partners?,NA; never participated in financial arrangements
1075-0000,21,3,Financial / Programmatic Infrastructure,Does the Participant plan to do so in the future?,Unsure
1075-0000,22,4,Financial / Programmatic Infrastructure,"Has the Participant implemented all BPCI Advanced required processes and procedures related to NPRA Sharing? For example: processes to verify Financial Arrangements comply with all applicable laws and regulations, processes to adhere to generally accepted accounting principles, compliance plan, and others outlined within the Participation Agreement.",NA; we don't participate in NPRA Sharing
1075-0000,23,5,Financial / Programmatic Infrastructure,"If selected 'No' to question 4, please describe any barriers/challenges in the comment box below.",
1075-0000,24,6,Financial / Programmatic Infrastructure,"Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? [If your response to this question is 'yes', please upload your organization's NPRA Sharing Arrangement template or a populated agreement as an example to the amendment section of the Participant Portal. If you have more than one NPRA Sharing Arrangement, upload 1 example only]",NA; we don't participate in NPRA Sharing
1075-0000,25,7,Financial / Programmatic Infrastructure,"If selected 'No' to question 6, please explain noting any barriers or challenges.",
1075-0000,26,8,Financial / Programmatic Infrastructure,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,No
1075-0000,27,9,Financial / Programmatic Infrastructure,Please describe key considerations that informed the Participant's decision (e.g. willingness to take on risk) regarding establishing Financial Arrangements.,
1075-0000,28,1,Internal Cost Savings (ICS),Does the Participant plan to track and allow contribution of ICS associated with BPCI Advanced to the BPCI Advanced Savings Pool(s) in the next 12 months?,No
1075-0000,29,2,Internal Cost Savings (ICS),"If selected 'Yes' to question 1, has the Participant established a process to measure and track Internal Cost Savings associated with BPCI Advanced?",---
1075-0000,30,1,Net Payment Reconciliation Report (NPRA),"Does the Participant plan to share NPRA associated with BPCI Advanced in the first performance period, if savings are achieved? [Performance Period 1: October 1, 2018 through June 30, 2019]",No
1075-0000,31,2,Net Payment Reconciliation Report (NPRA),Has the Participant implemented processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced?,No
1075-0000,32,3,Net Payment Reconciliation Report (NPRA),"If selected 'Yes' to question 2, please describe your processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced.",
1075-0000,33,1,Compliance Plan,"Has the Participant completed an initial Compliance Plan? [If your response is 'yes', please upload this document to the amendment section of the Participant Portal If your Compliance Plan includes multiple appendices, you can upload the main document only.]",Yes
1075-0000,34,1,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Fraud and AbuseWaivers (Financial Arrangements and/or Beneficiary Incentives)?,No
1075-0000,35,2,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Fraud and Abuse Waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use Financial Arrangements and/or Beneficiary Incentives in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
1075-0000,36,4,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Medicare Payment Policy (MPP) Waivers?,No
1075-0000,37,5,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If you selected 'Yes' to question 4, have you implemented the Payment Policy Waiver(s)?",---
1075-0000,38,6,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Medicare Payment Policy waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use any of the MPP waivers in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
1075-0000,39,8,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant established a process for monitoring compliance with waiver conditions?,NA; not using any of the waivers
1075-0000,40,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Attestation - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1075-0000,41,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Internal audit - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1075-0000,42,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have not elected to use any waivers - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1075-0000,43,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have elected to use waivers, but have not yet established a process for monitoring compliance with waiver conditions - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1075-0000,44,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Other - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1075-0000,45,10,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If selected 'Other' to question 9, please list strategies in the comment box below.",
1075-0000,46,1,Participation in Shared Learning Activities,"Has the Participant participated in the shared learning activities (e.g., webinars, emails, town hall meetings) identified by CMS?",Yes
1075-0000,47,1,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a process in place related to recordsmanagement associated with BPCI Advanced Model?,Yes
1075-0000,48,2,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a succession plan in place for when individuals in management or individuals who oversee implementation of the BPCI Advanced Model depart the organization?,Yes
1075-0000,49,3,Knowledge Management / Record Keeping / Succession Planning,"If selected 'Yes' to question 2, please provide a brief explanation of that process below.","All positions have job descriptions and when someone leaves their role it is evaluated and things that need managed have an interim leader/employee that supports those functions.  When a permanent replacement is made, they will be oriented to their job description based on needs of the job."
1075-0000,50,1,Beneficiary Notification,Emailed to beneficiaries - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
1075-0000,51,1,Beneficiary Notification,Mailed to the beneficiary's address - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
1075-0000,52,1,Beneficiary Notification,Provided to beneficiary during an Inpatient Hospital stay or Outpatient Visit - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Yes
1075-0000,53,1,Beneficiary Notification,Provided during discharge procedures - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
1075-0000,54,1,Beneficiary Notification,Other - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
1075-0000,55,2,Beneficiary Notification,"If selected 'Other' to question 1, please describe the communication channel used to provide beneficiary notifications.",
1075-0000,56,3,Beneficiary Notification,Does the Participant use the template Beneficiary Notification Letter provided by CMS?,Yes
1075-0000,57,4,Beneficiary Notification,"If selected 'No' to question 3, please explain.",
1075-0000,58,5,Beneficiary Notification,Has provision of the beneficiary notification of participation resulted in negative feedback from beneficiaries?,No
1075-0000,59,6,Beneficiary Notification,"If selected 'Yes' to question 5, what are the primary concerns from the beneficiary perspective?",
1075-0000,60,1,BPCI Advanced Impact,Has the Participant seen any unexpected positive outcomes associated with implementing BPCI Advanced?,No
1075-0000,61,2,BPCI Advanced Impact,Has the Participant seen any unexpected negative outcomes associated with implementing BPCI Advanced?,No
1075-0000,62,3,BPCI Advanced Impact,"If selected 'Yes' to either question 1 or 2, please describe.",
1075-0000,63,4,BPCI Advanced Impact,"Has the Participant established a process for monitoring and mitigating unintended consequences (e.g., patient targeting/avoidance, inadequate or insufficient care, costshifting) associated with implementation of the BPCI Advanced Model?",Yes
1075-0000,64,5,BPCI Advanced Impact,"If selected 'Yes' to question 4, please describe.",We follow our hospital and physician process for grievance management based on CMS requirements.
1075-0000,65,1,Beneficiary Impact,"Has the Participant implemented a system to request, track and respond to complaints made by BPCI Advanced Beneficiaries? [The complaint process in place does not have to be solely for Beneficiaries in the BPCI Advanced Model. However the current complaint system in place must track complaints made by Beneficiaries in the BPCI Advanced Model.]",Yes; using existing system
1075-0000,66,2,Beneficiary Impact,"If selected 'Yes' to question 1, do you believe that current processes in place appropriately monitor and address those complaints?",Strongly Agree
1075-0000,67,3,Beneficiary Impact,"Has the Participant received any complaints related to the established system for tracking Beneficiary complaints? (E.g., a beneficiary complained that their complaint was not resolved quickly enough.)",No
1075-0000,68,4,Beneficiary Impact,Quality - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,69,4,Beneficiary Impact,Safety - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,70,4,Beneficiary Impact,Timing and Access - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,71,4,Beneficiary Impact,Communication - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,72,4,Beneficiary Impact,Compassion/Caring - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,73,4,Beneficiary Impact,Patient Rights - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,74,4,Beneficiary Impact,Other - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
1075-0000,75,4,Beneficiary Impact,N/A; we have not received any complaints from Beneficiaries - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Yes
1075-0000,76,1,Document Submission,Is there a designated person(s) for submitting BPCI Advanced required documentation to CMS?,Yes
1075-0000,77,2,Document Submission,Please provide any barriers or challenges associated with submitting required documentation.,Password issues have created some challenges.
1075-0000,78,3,Document Submission,Is there a designated person(s) for coordinating clinical document requests from the Participant and its Downstream Episode Initiators and other clinical partners?,Yes
1075-0000,79,1,Self-disclosed Investigations or Sanctions,Is the Participant or any of its BPCI Advanced partners under any investigations or subject to sanctions that have not been reported to CMS?,No
1075-0000,80,1,Other Issues Not Previously Listed,"Please describe issues, challenges or barriers associated with implementation of the BPCI Advanced Model that have not being discussed above.",Challenges with the speed of change/understanding and needing to adopt change without have seen how we are actually performing in the current model.  Difficult to want to sign up for more when we haven't truly determined yet what our performance will be in first performance year.
