BPCI ID,Global Number,Topic Number,Topic,Text,Response
5397-0001,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.","We are impressed by the excitement, and engagement, of clinical teams and ACH Episode Initiator leadership. There has been a great deal of collegial spirit as our subject matter experts focus on enhancing acute care delivered to our patients as well as ensuring patients are discharged to the appropriate location to further their healing. We are excited when considering the efforts being placed in redesigning our care plans and standardizing processes across the health system. To us, the witnessed dedication and desire to improve patient outcomes is truly a success."
5397-0001,12,1,CEHRT Use,"The Participant and/or the Downstream Episode Initiator(s) is on track to implement Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criterion under 42 C.F.R. & 414.1415(a)(1)(i). To meet this criterion, at least 75 percent of eligible clinicians in each participating APM Entity group, or each hospital if hospitals are the APM Entities, to use CEHRT to document and communicate clinical care.",Yes
5397-0001,13,2,CEHRT Use,Has the Participant had challenges meeting the CEHRT use requirements?,No
5397-0001,14,3,CEHRT Use,Please use the comment box below to describe any challenges to meeting the CEHRT use requirements.,No comments at this time.
5397-0001,15,1,Partner Agreements,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs)?",Yes
5397-0001,16,2,Partner Agreements,Has the Participant established agreements with all Participating Practitioners?,No
5397-0001,17,3,Partner Agreements,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and relevant partnering entities/individuals?",Yes
5397-0001,18,4,Partner Agreements,Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners.,"The biggest challenge experienced is simply the lack of BPCIA education amongst partners. To mitigate this challenge, our team visits each ACH facility quarterly to share critical program information and education that has been created to detail agreement and quality requirements. A BPCIA community site, for the purpose of education, has been created internally at the UH Digital Workplace, and bi-weekly meetings have been held with Division Chiefs to assist in delivery of accurate details to their physician teams. In addition, the Medical Director of BPCIA frequently engages with physicians and ACH partners to share updates for process and procedure while the Administrative Director collaborates to share financial updates as well as post-acute utilization metrics.Another challenge has been the requirement that we enter Participating Practitioner Agreement for providers that we designate as QPPs.  With 37 episode combinations across 9 hospitals, we have many providers involved in our BPCIA program.  It is very difficult to obtain agreements with all of the providers.  We would prefer a process were we provide a notice to the provider, educating them about the BPCIA program, and the fact that we intend to include them on the QPP list.  At that point, they could choose to opt out and we would not include them on the list."
5397-0001,19,1,Financial / Programmatic Infrastructure,"Has the Participant set up an accounting system to be used, to measure and track Net Payment Reconciliation Amounts (NPRA) received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS and Administrative Services?",No
5397-0001,20,2,Financial / Programmatic Infrastructure,Is the Participant still participating in Financial Arrangements with one or more NPRA Sharing Partners?,NA; never participated in financial arrangements
5397-0001,21,3,Financial / Programmatic Infrastructure,Does the Participant plan to do so in the future?,Unsure
5397-0001,22,4,Financial / Programmatic Infrastructure,"Has the Participant implemented all BPCI Advanced required processes and procedures related to NPRA Sharing? For example: processes to verify Financial Arrangements comply with all applicable laws and regulations, processes to adhere to generally accepted accounting principles, compliance plan, and others outlined within the Participation Agreement.",NA; we don't participate in NPRA Sharing
5397-0001,23,5,Financial / Programmatic Infrastructure,"If selected 'No' to question 4, please describe any barriers/challenges in the comment box below.",No comments at this time as we are not NPRA sharing.
5397-0001,24,6,Financial / Programmatic Infrastructure,"Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? [If your response to this question is 'yes', please upload your organization's NPRA Sharing Arrangement template or a populated agreement as an example to the amendment section of the Participant Portal. If you have more than one NPRA Sharing Arrangement, upload 1 example only]",NA; we don't participate in NPRA Sharing
5397-0001,25,7,Financial / Programmatic Infrastructure,"If selected 'No' to question 6, please explain noting any barriers or challenges.",No comments at this time as we are not NPRA sharing.
5397-0001,26,8,Financial / Programmatic Infrastructure,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,Yes
5397-0001,27,9,Financial / Programmatic Infrastructure,Please describe key considerations that informed the Participant's decision (e.g. willingness to take on risk) regarding establishing Financial Arrangements.,"UH leadership thoughtfully weighed the pros and cons of entering the voluntary BPCIA initiative. After much consideration, willingness to assume financial risk stemmed from our experience in other value based payment models such as Medicare Shared Savings and BPCI. Prior to BPCIA, our team established communications and care coordination efforts with physicians and post-acute providers including primary care providers and community resources. Further, we established a care management structure that allowed for the identification of high risk patients, tracking of the patient's status across the episode and care coordination with an assigned clinical resource (e.g. patient navigator) for the duration of the bundle. All of these efforts were designed to focus on improving beneficiary outcomes and experience, and used to influence policy and practice within our organization. We continue to work with our post-acute and community partners in the development of common practices and processes."
5397-0001,28,1,Internal Cost Savings (ICS),Does the Participant plan to track and allow contribution of ICS associated with BPCI Advanced to the BPCI Advanced Savings Pool(s) in the next 12 months?,No
5397-0001,29,2,Internal Cost Savings (ICS),"If selected 'Yes' to question 1, has the Participant established a process to measure and track Internal Cost Savings associated with BPCI Advanced?",NA; we don't participate in ICS Sharing
5397-0001,30,1,Net Payment Reconciliation Report (NPRA),"Does the Participant plan to share NPRA associated with BPCI Advanced in the first performance period, if savings are achieved? [Performance Period 1: October 1, 2018 through June 30, 2019]",No
5397-0001,31,2,Net Payment Reconciliation Report (NPRA),Has the Participant implemented processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced?,No
5397-0001,32,3,Net Payment Reconciliation Report (NPRA),"If selected 'Yes' to question 2, please describe your processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced.",No comments.
5397-0001,33,1,Compliance Plan,"Has the Participant completed an initial Compliance Plan? [If your response is 'yes', please upload this document to the amendment section of the Participant Portal If your Compliance Plan includes multiple appendices, you can upload the main document only.]",In progress
5397-0001,34,1,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Fraud and AbuseWaivers (Financial Arrangements and/or Beneficiary Incentives)?,Yes
5397-0001,35,2,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Fraud and Abuse Waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use Financial Arrangements and/or Beneficiary Incentives in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
5397-0001,36,4,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Medicare Payment Policy (MPP) Waivers?,Yes
5397-0001,37,5,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If you selected 'Yes' to question 4, have you implemented the Payment Policy Waiver(s)?",No
5397-0001,38,6,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Medicare Payment Policy waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use any of the MPP waivers in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
5397-0001,39,8,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant established a process for monitoring compliance with waiver conditions?,NA; not using any of the waivers
5397-0001,40,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Attestation - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5397-0001,41,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Internal audit - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5397-0001,42,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have not elected to use any waivers - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5397-0001,43,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have elected to use waivers, but have not yet established a process for monitoring compliance with waiver conditions - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5397-0001,44,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Other - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5397-0001,45,10,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If selected 'Other' to question 9, please list strategies in the comment box below.",No comments.
5397-0001,46,1,Participation in Shared Learning Activities,"Has the Participant participated in the shared learning activities (e.g., webinars, emails, town hall meetings) identified by CMS?",Yes
5397-0001,47,1,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a process in place related to recordsmanagement associated with BPCI Advanced Model?,Yes
5397-0001,48,2,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a succession plan in place for when individuals in management or individuals who oversee implementation of the BPCI Advanced Model depart the organization?,Yes
5397-0001,49,3,Knowledge Management / Record Keeping / Succession Planning,"If selected 'Yes' to question 2, please provide a brief explanation of that process below.","At University Hospitals, we recognize the ""Next Man Up"" methodology. Each member of our team is highly involved, ready and willing to get the collective job done no matter what the set-back could be. While we have a small team at this time, our newest employees have been offered opportunities to take on critical, game-changing assignments forcing them to think outside-the-box in an effort to learn program requirements and adhere to the Participant Agreement. We realize the bottom line is important; however, teamwork is the most critical component to our success. With this in mind, all have been provided with appropriate cross-training, shadowing, and project leadership opportunities in order to provide a well-balanced experience in the event a member of the team departs the organization."
5397-0001,50,1,Beneficiary Notification,Emailed to beneficiaries - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5397-0001,51,1,Beneficiary Notification,Mailed to the beneficiary's address - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Yes
5397-0001,52,1,Beneficiary Notification,Provided to beneficiary during an Inpatient Hospital stay or Outpatient Visit - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5397-0001,53,1,Beneficiary Notification,Provided during discharge procedures - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5397-0001,54,1,Beneficiary Notification,Other - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5397-0001,55,2,Beneficiary Notification,"If selected 'Other' to question 1, please describe the communication channel used to provide beneficiary notifications.",No comments.
5397-0001,56,3,Beneficiary Notification,Does the Participant use the template Beneficiary Notification Letter provided by CMS?,Yes
5397-0001,57,4,Beneficiary Notification,"If selected 'No' to question 3, please explain.",No comments
5397-0001,58,5,Beneficiary Notification,Has provision of the beneficiary notification of participation resulted in negative feedback from beneficiaries?,No
5397-0001,59,6,Beneficiary Notification,"If selected 'Yes' to question 5, what are the primary concerns from the beneficiary perspective?",No comments
5397-0001,60,1,BPCI Advanced Impact,Has the Participant seen any unexpected positive outcomes associated with implementing BPCI Advanced?,Yes
5397-0001,61,2,BPCI Advanced Impact,Has the Participant seen any unexpected negative outcomes associated with implementing BPCI Advanced?,No
5397-0001,62,3,BPCI Advanced Impact,"If selected 'Yes' to either question 1 or 2, please describe.","Change is hard, and to be honest, we were expecting a great deal of resistance from system-wide physicians, leaders, and hospital staff when implementing workflow changes in support of the BPCIA initiative. We have been pleasantly surprised by the thoughtful participation of our colleagues as we all strive to improve patient outcomes and build framework for care processes. Being highly visible, and taking a caring approach, our team has been used as the ""sounding board"" for staff and physician concerns; I believe this results from our ability to build meaningful relationships of trust and transparency, which have proven to be highly respected despite the information delivered to our colleagues being negative at times. When negative communication has been delivered, we have witnessed a competitive spirit emerge resulting in teams brainstorming to quickly resolve identified problems...a bit of friendly rivalry throughout the health system. And...we have witnessed UH ACHs struggling with BPCIA performance seeking help, which is always hard to do."
5397-0001,63,4,BPCI Advanced Impact,"Has the Participant established a process for monitoring and mitigating unintended consequences (e.g., patient targeting/avoidance, inadequate or insufficient care, costshifting) associated with implementation of the BPCI Advanced Model?",Yes
5397-0001,64,5,BPCI Advanced Impact,"If selected 'Yes' to question 4, please describe.","The BPCIA and High Reliability Medicine (HRM) teams have created weekly process and monthly outcomes scorecards to monitor the performance of 21 disease processes across the UH health system. The process scorecards provide a weekly visual of performance by facility and disease group and encompass reduction in skilled nursing usage using evidence-based mobility assessment prior to discharge, increasing in Home w/ or w/out Home Health support for those patients who should be discharged home, and ensuring patients are following up with their physicians within seven days of discharge to enforce medication adherence, mitigate disease process concerns, and reduce readmissions. The monthly scorecards focus on 30- and 90-day patient outcomes relating to length of stay, mortality, readmissions, and cost. In addition, an interactive BPCIA quality dashboard is currently being created to track all BPCIA quality metrics to ensure we mitigate unintended consequence of the model."
5397-0001,65,1,Beneficiary Impact,"Has the Participant implemented a system to request, track and respond to complaints made by BPCI Advanced Beneficiaries? [The complaint process in place does not have to be solely for Beneficiaries in the BPCI Advanced Model. However the current complaint system in place must track complaints made by Beneficiaries in the BPCI Advanced Model.]",No
5397-0001,66,2,Beneficiary Impact,"If selected 'Yes' to question 1, do you believe that current processes in place appropriately monitor and address those complaints?",NA; we have not yet implemented a system for monitoring and responding to beneficiary complaints
5397-0001,67,3,Beneficiary Impact,"Has the Participant received any complaints related to the established system for tracking Beneficiary complaints? (E.g., a beneficiary complained that their complaint was not resolved quickly enough.)",NA; no complaint monitoring system yet
5397-0001,68,4,Beneficiary Impact,Quality - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,69,4,Beneficiary Impact,Safety - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,70,4,Beneficiary Impact,Timing and Access - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,71,4,Beneficiary Impact,Communication - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,72,4,Beneficiary Impact,Compassion/Caring - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,73,4,Beneficiary Impact,Patient Rights - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,74,4,Beneficiary Impact,Other - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Not Selected/ Not Answered
5397-0001,75,4,Beneficiary Impact,N/A; we have not received any complaints from Beneficiaries - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Yes
5397-0001,76,1,Document Submission,Is there a designated person(s) for submitting BPCI Advanced required documentation to CMS?,Yes
5397-0001,77,2,Document Submission,Please provide any barriers or challenges associated with submitting required documentation.,"We have experienced a few barriers associated with BPCIA documentation:1. QPP templates are not user friendly, and we find it is difficult to add rows within already completed rows and columns when edits are necessary.2. At times, the Innovation Portal is slow when trying to upload and/or download documents."
5397-0001,78,3,Document Submission,Is there a designated person(s) for coordinating clinical document requests from the Participant and its Downstream Episode Initiators and other clinical partners?,Yes
5397-0001,79,1,Self-disclosed Investigations or Sanctions,Is the Participant or any of its BPCI Advanced partners under any investigations or subject to sanctions that have not been reported to CMS?,No
5397-0001,80,1,Other Issues Not Previously Listed,"Please describe issues, challenges or barriers associated with implementation of the BPCI Advanced Model that have not being discussed above.","A suggestion:It would be beneficial to schedule additional webinars for participants to discuss ongoing changes to the BPCIA program. Numerous emails have been sent from CMS regarding the program this year, all of which are confusing in one way or the other, and leave us wondering what is being asked of our team. In addition, we are finding it challenging to receive timely responses from the CMS Innovation team especially when the ask for clarification is attached to a submission deadline. Could be improvement in this process as well."
